accountNumber,serverId,name,macAddress,family,ipAddress,gateway,netMask,portGroupName,portGroupId,virtualSwitchName,state,creationTimeStamp,lastModifiedTimeStamp
049450565398,d-server-05839a5073d0f95fc,vmnic2,2c:76:8a:5d:b1:b6,,,,,,,,ACTIVE,,
049450565398,d-server-05839a5073d0f95fc,vmnic4,e8:39:35:b2:0e:40,,,,,,,,ACTIVE,,
049450565398,d-server-05839a5073d0f95fc,vmnic5,e8:39:35:b2:0e:42,,,,,,,,ACTIVE,,
049450565398,d-server-0b94bb99efb9096a9,,00:50:56:81:11:1f,,,,,VM Network,VM Network,VM Network,ACTIVE,,
049450565398,d-server-0b94bb99efb9096a9,,00:50:56:81:1b:f5,,,,,VM Network,VM Network,VM Network,ACTIVE,,
049450565398,d-server-0b94bb99efb9096a9,,00:50:56:81:2b:e0,,,,,VM Network,VM Network,VM Network,ACTIVE,,
049450565398,d-server-01888b2737b2e118a,,00:50:56:81:30:5f,,,,,VM Network,VM Network,VM Network,ACTIVE,,
049450565398,d-server-070a5df3fd4dfd05c,vmnic0,1c:98:ec:14:8f:44,,,,,,,,ACTIVE,,
049450565398,d-server-070a5df3fd4dfd05c,vmnic1,1c:98:ec:14:8f:45,,,,,,,,ACTIVE,,
049450565398,d-server-070a5df3fd4dfd05c,vmnic2,1c:98:ec:14:8f:46,,,,,,,,ACTIVE,,
049450565398,d-server-070a5df3fd4dfd05c,vmnic3,1c:98:ec:14:8f:47,,,,,,,,ACTIVE,,
049450565398,d-server-04b5e3d8c8b1edb4f,vmnic1,94:18:82:80:3e:41,,,,,,,,ACTIVE,,
049450565398,d-server-04b5e3d8c8b1edb4f,vmnic0,94:18:82:80:3e:40,,,,,,,,ACTIVE,,
049450565398,d-server-04b5e3d8c8b1edb4f,vmnic5,14:02:ec:8c:e7:71,,,,,,,,ACTIVE,,
049450565398,d-server-04b5e3d8c8b1edb4f,vmnic3,94:18:82:80:3e:43,,,,,,,,ACTIVE,,
049450565398,d-server-04b5e3d8c8b1edb4f,vmnic2,94:18:82:80:3e:42,,,,,,,,ACTIVE,,
049450565398,d-server-04b5e3d8c8b1edb4f,vmnic4,14:02:ec:8c:e7:70,,,,,,,,ACTIVE,,
049450565398,d-server-05945a27c437b41b4,vmnic0,2c:76:8a:4e:60:68,,,,,,,,ACTIVE,,
049450565398,d-server-05945a27c437b41b4,vmnic1,2c:76:8a:4e:60:69,,,,,,,,ACTIVE,,
049450565398,d-server-05945a27c437b41b4,vmnic2,2c:76:8a:4e:60:6a,,,,,,,,ACTIVE,,
049450565398,d-server-05945a27c437b41b4,vmnic3,2c:76:8a:4e:60:6b,,,,,,,,ACTIVE,,
049450565398,d-server-0afec428d6eb75a88,,00:50:56:81:00:9b,,,,,Trunk 240,Trunk 240,Trunk 240,ACTIVE,,
049450565398,d-server-0db475ee56e79b7e4,,00:50:56:9b:2d:1b,,,,,Trunk 247,Trunk 247,Trunk 247,ACTIVE,,
049450565398,d-server-071913b5617f70e92,,00:50:56:81:22:08,,,,,Trunk 241,Trunk 241,Trunk 241,ACTIVE,,
049450565398,d-server-08976a43d3d037e4b,vmnic1,00:25:b5:10:01:2f,,,,,,,,ACTIVE,,
049450565398,d-server-08976a43d3d037e4b,vmnic2,00:25:b5:10:01:5f,,,,,,,,ACTIVE,,
049450565398,d-server-08976a43d3d037e4b,vmnic0,00:25:b5:10:01:3f,,,,,,,,ACTIVE,,
049450565398,d-server-08976a43d3d037e4b,vmnic3,00:25:b5:10:01:4f,,,,,,,,ACTIVE,,
049450565398,d-server-09158b0cb3b92aca2,,00:50:56:9b:03:24,,,,,Trunk 247,Trunk 247,Trunk 247,ACTIVE,,
049450565398,d-server-0a0182502c3c3d075,,00:50:56:81:00:34,,,,,VLAN 2022,VLAN 2022,VLAN 2022,ACTIVE,,
049450565398,d-server-0263641434788155a,vmnic2,a0:d3:c1:fb:98:06,,,,,,,,ACTIVE,,
049450565398,d-server-0263641434788155a,vmnic1,a0:d3:c1:fb:98:05,,,,,,,,ACTIVE,,
049450565398,d-server-0263641434788155a,vmnic0,a0:d3:c1:fb:98:04,,,,,,,,ACTIVE,,
